,Nombre,Fecha,Tipo,Cantidad,Efecto,Mensaje,Detalles
0,Banco de Reservas de la Republica Dominicana,08/03,Transferir a cuenta bancaria,"$10,492.0","- $10,492.00DOP",,https://www.paypal.com/myaccount/activities/details/32U66787LX033625V
1,Uber BV,07/03,Pago automático,$60.0,- $60.00DOP,,https://www.paypal.com/myaccount/activities/details/0NJ67001XL5844611
2,Uber BV,07/03,Pago automático,$84.2,- $84.27DOP,,https://www.paypal.com/myaccount/activities/details/0UM86934WM028264U
3,Uber BV,07/03,Pago automático,$114.6,- $114.69DOP,,https://www.paypal.com/myaccount/activities/details/8T995428D7711973Y
4,Banco de Reservas de la Republica Dominicana,06/03,Transferir a cuenta bancaria,"$7,863.0","- $7,863.00DOP",,https://www.paypal.com/myaccount/activities/details/3SL005497L876843Y
5,Uber BV,27/02,Pago automático,$219.0,- $219.00DOP,,https://www.paypal.com/myaccount/activities/details/3EB41801DR617632D
6,Uber BV,24/02,Pago automático,$145.0,- $145.00DOP,,https://www.paypal.com/myaccount/activities/details/4Y7057790C8195338
7,Uber BV,21/02,Pago automático,$100.0,- $100.00DOP,,https://www.paypal.com/myaccount/activities/details/12W54441RT095925X
8,Banco de Reservas de la Republica Dominicana,10/02,Transferir a cuenta bancaria,"$2,613.0","- $2,613.00DOP",,https://www.paypal.com/myaccount/activities/details/28B551335H768814N
9,FIVERR INTERNATIONAL LTD.,10/02,Pago recibido,$178.80,+ $178.80,,https://www.paypal.com/myaccount/activities/details/1HE32494NN681310J
